Code,Department,Title,Units,Description,Prerequisites,Level,URL
HIUS 119,HIUS,Colonialism and Militarism in Hawaii,4,"Examines the history of Hawaii’s colonial present, beginning with incorporation into Euro-American imagining of the Pacific world. The course focuses on how colonialism took root in the nineteenth century and how it manifests in contemporary Hawaii through the military and tourist industries. Of particular emphasis are historical and contemporary struggles to demilitarize and decolonize Hawaii and to reclaim native Hawaiian sovereignty.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+119
HIUS 119GS,HIUS,Colonialism and Militarism in Hawaii,4,"Examines the history of Hawaii’s colonial present, beginning with incorporation into Euro-American imagining of the Pacific world. The course focuses on how colonialism took root in the nineteenth century and how it manifests in contemporary Hawaii through the military and tourist industries. Of particular emphasis are historical and contemporary struggles to demilitarize and decolonize Hawaii and to reclaim native Hawaiian sovereignty. Students may not receive credit for HIUS 119 and HIEU 119GS. Students must apply and be accepted to the Global Seminars Program.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+119GS
HIUS 120,HIUS,Peace Movements in America,4,"Topics will include Quaker origins of the American peace movements and examples of opposition to wars in the twentieth century from World Wars I and II, Vietnam, antinuclear movements, and intervention in Central America to Iraq.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+120
HIUS 120D,HIUS,Race and Oral History in San Diego,4,"This course examines the history of racial and ethnic communities in San Diego. Drawing from historical research and interdisciplinary scholarship, we will explore how race impacted the history and development of San Diego and how “ordinary” folk made sense of their racial identity and experiences. Toward these ends, students will conduct oral history and community-based research, develop public and digital humanities skills, and preserve a collection of oral histories for future scholarship. Concurrent enrollment in an Academic Internship Program course strongly recommended. Students may not receive credit for HIUS 120D and ETHN 120D.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+120D
HIUS 122,HIUS,History and Hollywood: America and the Movies since the Great Depression,4,"A lecture-discussion course utilizing written texts and films to explore major themes in American politics and culture from the Great Depression through the 1990s. Topics will include the wars of America, McCarthyism, the counterculture of the 1960s, and the transformation of race and gender relations.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+122
HIUS 123,HIUS,History of New York City,4,"New York City breathes history. Whether it is in the music, the literature, or the architecture, the city informs our most basic conceptions of American identity. This course examines the evolution of Gotham from the colonial era to today.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+123
USP 167,USP,History of New York City,4,"New York City breathes history. Whether it is in the music, the literature, or the architecture, the city informs our most basic conceptions of American identity. This course examines the evolution of Gotham from the colonial era to today.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=USP+167
HIUS 125,HIUS,Asian American Social Movements,4,"History of Asian American activism from the late-nineteenth century to the present, with an emphasis on interethnic, interracial, and transnational solidarity practices. Topics include struggles for civil rights and labor rights; immigration reform; antiwar and anticolonial movements; hate crimes; and police brutality. Students may receive credit for one of the following: HIUS 125, HIUS 125GS, or ETHN 163J.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+125
HIUS 125GS,HIUS,Asian American Social Movements,4,"History of Asian American activism from the late-nineteenth century to the present, with an emphasis on interethnic, interracial, and transnational solidarity practices. Topics include struggles for civil rights and labor rights; immigration reform; antiwar and anticolonial movements; hate crimes; and police brutality. Students must apply and be accepted into the Global Seminars Program. Students may receive credit for one of the following: HIUS 125GS, HIUS 125, or ETHN 163J.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+125GS
HIUS 126,HIUS,The History of Race in the United States,4,"Examines key periods, events, and processes throughout the twentieth century that shaped the way Americans thought about race. Also examines the historical development of the category of race and racism, as well as how it is lived in everyday life.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+126
HIUS 128,HIUS,African American Legal History,4,"This course sketches the shifting experience persons of African descent have had with the law in the United States. Films, cases, articles, and book excerpts are used to convey the complex nature of this four-hundred-year journey.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+128
HIUS 129,HIUS,The History of Race and Ethnicity in American Cities,4,"This class examines the history of racial and ethnic groups in American cities. It looks at major forces of change such as immigration to cities, political empowerment, and social movements, as well as urban policies such as housing segregation.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+129
USP 106,USP,The History of Race and Ethnicity in American Cities,4,"This class examines the history of racial and ethnic groups in American cities. It looks at major forces of change such as immigration to cities, political empowerment, and social movements, as well as urban policies such as housing segregation.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=USP+106
HIUS 130,HIUS,Cultural History from 1607 to 1865,4,"This course will explore connections between American culture and the transformations of class relations, gender ideology, and political thought. Topics will include the transformations of religious perspectives and practices, republican art and architecture, artisan and working-class culture, the changing place of art and artists in American society, antebellum reform movements, antislavery and proslavery thought. +",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+130
HIUS 131,HIUS,Cultural History from 1865 to 1917,4,"This course will focus on the transformation of work and leisure and the development of consumer culture. Students consider connections among culture, class, racial and gender ideologies, and politics. Topics include labor management and radicalism, organized sports, museums, commercial entertainment, world fairs, reactionary movements, and imperialism.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=HIUS+131
